Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
11526	ANCONA	06/01/17 05.33.00	06/01/17 05.34.00	1.0
11526	FALCONARA MARITTIMA	06/01/17 05.40.00	06/01/17 05.42.30	2.5
11526	SENIGALLIA	06/01/17 05.50.00	06/01/17 05.51.30	1.5
11526	MAROTTA MONDOLFO	06/01/17 05.57.00	06/01/17 05.58.00	1.0
11526	FANO	06/01/17 06.05.00	06/01/17 06.06.00	1.0
11526	PESARO	06/01/17 06.14.00	06/01/17 06.14.30	0.5
11526	CATTOLICA S.GIOVANNI GABICCE	06/01/17 06.25.00	06/01/17 06.25.00	0.0
11526	RICCIONE	06/01/17 06.32.00	06/01/17 06.32.00	0.0
11526	RIMINI	06/01/17 06.43.00	06/01/17 06.39.00	-4.0
11526	CESENA	06/01/17 07.04.00	06/01/17 07.01.30	-2.5
11526	FORLI`	06/01/17 07.16.00	06/01/17 07.15.30	-0.5
11526	FAENZA	06/01/17 07.27.00	06/01/17 07.28.00	1.0
11526	CASTELBOLOGNESE	06/01/17 07.42.00	06/01/17 07.46.00	4.0
11526	IMOLA	06/01/17 07.50.00	06/01/17 07.52.30	2.5
11526	CASTEL S.PIETRO TERME	06/01/17 08.04.00	06/01/17 08.05.30	1.5
11526	BOLOGNA C.LE	06/01/17 08.21.00	06/01/17 08.20.30	-0.5
11526	CASTELFRANCO D'EMILIA	06/01/17 08.45.00	06/01/17 08.42.00	-3.0
11526	MODENA	06/01/17 08.54.00	06/01/17 08.52.00	-2.0
11526	REGGIO EMILIA	06/01/17 09.08.00	06/01/17 09.08.30	0.5
11526	PARMA	06/01/17 09.23.00	06/01/17 09.33.30	10.5
11526	FIDENZA	06/01/17 09.35.00	06/01/17 09.45.30	10.5
11526	FIORENZUOLA	06/01/17 09.46.00	06/01/17 09.53.30	7.5
11526	PIACENZA	06/01/17 10.05.00	06/01/17 10.06.30	1.5
11418	BOLOGNA C.LE	06/01/17 18.52.00	06/01/17 18.53.30	1.5
11418	ANZOLA	06/01/17 19.03.00	06/01/17 19.05.00	2.0
11418	SAMOGGIA	06/01/17 19.08.00	06/01/17 19.10.00	2.0
11418	CASTELFRANCO D'EMILIA	06/01/17 19.14.00	06/01/17 19.14.30	0.5
2986	BOLOGNA C.LE	06/01/17 07.00.00	06/01/17 07.01.00	1.0
2986	MODENA	06/01/17 07.35.00	06/01/17 07.30.00	-5.0
2986	REGGIO EMILIA	06/01/17 07.53.00	06/01/17 07.48.30	-4.5
2986	PARMA	06/01/17 08.14.00	06/01/17 08.11.30	-2.5
2986	FIDENZA	06/01/17 08.29.00	06/01/17 08.27.30	-1.5
2986	FIORENZUOLA	06/01/17 08.40.00	06/01/17 08.37.30	-2.5
2986	PIACENZA	06/01/17 08.56.00	06/01/17 08.55.00	-1.0
2986	LODI	06/01/17 09.19.00	06/01/17 09.26.00	7.0
2986	MILANO ROGOREDO	06/01/17 09.35.00	06/01/17 09.40.00	5.0
2986	MILANO LAMBRATE	06/01/17 09.42.00	06/01/17 09.45.00	3.0
2986	MILANO CENTRALE	06/01/17 09.50.00	06/01/17 09.51.30	1.5
2136	ANCONA	06/01/17 16.40.00	06/01/17 16.48.30	8.5
2136	FALCONARA MARITTIMA	06/01/17 16.49.00	06/01/17 16.55.30	6.5
2124	ANCONA	06/01/17 04.35.00	06/01/17 04.38.30	3.5
2124	FALCONARA MARITTIMA	06/01/17 04.43.00	06/01/17 04.46.00	3.0
2068	VERONA PORTA NUOVA	06/01/17 12.45.00	06/01/17 12.46.00	1.0
2068	PESCHIERA DEL GARDA	06/01/17 12.58.00	06/01/17 12.58.30	0.5
2068	DESENZANO	06/01/17 13.08.00	06/01/17 13.08.00	0.0
2068	BRESCIA	06/01/17 13.26.00	06/01/17 13.24.30	-1.5
2068	ROVATO	06/01/17 13.37.00	06/01/17 13.36.00	-1.0
2068	CHIARI	06/01/17 13.42.00	06/01/17 13.41.00	-1.0
2068	ROMANO	06/01/17 13.51.00	06/01/17 13.51.00	0.0
2068	TREVIGLIO	06/01/17 14.03.00	06/01/17 14.00.30	-2.5
2068	PIOLTELLO LIMITO	06/01/17 14.17.00	06/01/17 14.15.30	-1.5
2068	MILANO LAMBRATE	06/01/17 14.26.00	06/01/17 14.25.00	-1.0
2068	MILANO CENTRALE	06/01/17 14.35.00	06/01/17 14.33.00	-2.0
2276	RIMINI	06/01/17 05.20.00	06/01/17 05.20.30	0.5
2276	BELLARIA	06/01/17 05.29.00	06/01/17 05.30.30	1.5
2276	GATTEO A MARE	06/01/17 05.35.00	06/01/17 05.35.30	0.5
2276	CESENATICO	06/01/17 05.44.00	06/01/17 05.40.00	-4.0
2276	CERVIA-MILANO MARITTIMA	06/01/17 05.53.00	06/01/17 05.51.00	-2.0
2276	LIDO DI CLASSE-LIDO DI SAVIO	06/01/17 06.02.00	06/01/17 06.00.00	-2.0
2276	RAVENNA	06/01/17 06.20.00	06/01/17 06.21.00	1.0
2276	GODO	06/01/17 06.37.00	06/01/17 06.39.00	2.0
2276	RUSSI	06/01/17 06.41.00	06/01/17 06.41.30	0.5
2276	BAGNACAVALLO	06/01/17 06.48.00	06/01/17 06.47.30	-0.5
2276	LUGO	06/01/17 06.55.00	06/01/17 06.53.00	-2.0
2276	BARBIANO	06/01/17 07.01.00	06/01/17 07.02.30	1.5
2276	SOLAROLO	06/01/17 07.05.00	06/01/17 07.05.30	0.5
2276	CASTELBOLOGNESE	06/01/17 07.12.00	06/01/17 07.11.00	-1.0
2276	IMOLA	06/01/17 07.19.00	06/01/17 07.20.30	1.5
2276	BOLOGNA C.LE	06/01/17 07.43.00	06/01/17 07.39.00	-4.0
2276	ANZOLA	06/01/17 08.03.00	06/01/17 08.02.30	-0.5
2276	SAMOGGIA	06/01/17 08.08.00	06/01/17 08.09.00	1.0
2276	CASTELFRANCO D'EMILIA	06/01/17 08.14.00	06/01/17 08.13.30	-0.5
