Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
6265	PARMA	03/03/17 15.58.00	03/03/17 15.59.00	1.0
6265	S.ILARIO	03/03/17 16.05.00	03/03/17 16.07.00	2.0
6265	REGGIO EMILIA	03/03/17 16.14.00	03/03/17 16.18.00	4.0
6265	RUBIERA	03/03/17 16.24.00	03/03/17 16.27.00	3.0
6265	MODENA	03/03/17 16.32.00	03/03/17 16.37.00	5.0
6265	CASTELFRANCO D'EMILIA	03/03/17 16.41.00	03/03/17 16.46.00	5.0
6265	SAMOGGIA	03/03/17 16.48.00	03/03/17 16.52.30	4.5
6265	ANZOLA	03/03/17 16.53.00	03/03/17 16.57.30	4.5
6265	BOLOGNA C.LE	03/03/17 17.08.00	03/03/17 17.09.30	1.5
6485	PARMA	03/03/17 07.58.00	03/03/17 07.59.00	1.0
6485	S.ILARIO	03/03/17 08.05.00	03/03/17 08.05.30	0.5
6485	REGGIO EMILIA	03/03/17 08.14.00	03/03/17 08.16.30	2.5
6485	RUBIERA	03/03/17 08.24.00	03/03/17 08.24.00	0.0
6485	MODENA	03/03/17 08.32.00	03/03/17 08.34.00	2.0
6485	CASTELFRANCO D'EMILIA	03/03/17 08.41.00	03/03/17 08.42.30	1.5
6485	SAMOGGIA	03/03/17 08.48.00	03/03/17 08.49.00	1.0
6485	ANZOLA	03/03/17 08.53.00	03/03/17 08.54.00	1.0
6485	BOLOGNA C.LE	03/03/17 09.08.00	03/03/17 09.03.00	-5.0
6253	PARMA	03/03/17 07.17.00	03/03/17 07.17.00	0.0
6253	REGGIO EMILIA	03/03/17 07.31.00	03/03/17 07.35.00	4.0
6253	MODENA	03/03/17 07.45.00	03/03/17 07.51.00	6.0
6253	BOLOGNA C.LE	03/03/17 08.14.00	03/03/17 08.14.30	0.5
2133	PIACENZA	03/03/17 16.52.00	03/03/17 16.53.00	1.0
2133	FIORENZUOLA	03/03/17 17.04.00	03/03/17 17.06.00	2.0
2133	FIDENZA	03/03/17 17.13.00	03/03/17 17.15.30	2.5
2133	PARMA	03/03/17 17.28.00	03/03/17 17.29.30	1.5
2133	REGGIO EMILIA	03/03/17 17.45.00	03/03/17 17.49.00	4.0
2133	MODENA	03/03/17 17.59.00	03/03/17 18.10.00	11.0
2133	CASTELFRANCO D'EMILIA	03/03/17 18.08.00	03/03/17 18.18.30	10.5
2133	BOLOGNA C.LE	03/03/17 18.28.00	03/03/17 18.36.30	8.5
2133	CASTEL S.PIETRO TERME	03/03/17 18.49.00	03/03/17 18.55.30	6.5
2133	IMOLA	03/03/17 19.00.00	03/03/17 19.02.30	2.5
2133	CASTELBOLOGNESE	03/03/17 19.08.00	03/03/17 19.08.30	0.5
2133	FAENZA	03/03/17 19.14.00	03/03/17 19.15.00	1.0
2133	FORLI`	03/03/17 19.25.00	03/03/17 19.25.30	0.5
2133	CESENA	03/03/17 19.43.00	03/03/17 19.37.30	-5.5
2131	PIACENZA	03/03/17 14.52.00	03/03/17 14.53.30	1.5
2131	FIORENZUOLA	03/03/17 15.04.00	03/03/17 15.04.30	0.5
2131	FIDENZA	03/03/17 15.13.00	03/03/17 15.13.30	0.5
2131	PARMA	03/03/17 15.28.00	03/03/17 15.25.00	-3.0
2131	REGGIO EMILIA	03/03/17 15.45.00	03/03/17 15.44.00	-1.0
2131	MODENA	03/03/17 15.59.00	03/03/17 16.01.30	2.5
2131	CASTELFRANCO D'EMILIA	03/03/17 16.08.00	03/03/17 16.09.30	1.5
2131	BOLOGNA C.LE	03/03/17 16.28.00	03/03/17 16.28.00	0.0
2131	CASTEL S.PIETRO TERME	03/03/17 16.49.00	03/03/17 16.51.00	2.0
2131	IMOLA	03/03/17 17.00.00	03/03/17 17.03.00	3.0
2131	CASTELBOLOGNESE	03/03/17 17.08.00	03/03/17 17.09.30	1.5
2131	FAENZA	03/03/17 17.14.00	03/03/17 17.17.00	3.0
2131	FORLI`	03/03/17 17.25.00	03/03/17 17.26.30	1.5
2131	CESENA	03/03/17 17.40.00	03/03/17 17.37.30	-2.5
2131	RIMINI	03/03/17 18.01.00	03/03/17 17.59.30	-1.5
2131	RICCIONE	03/03/17 18.12.00	03/03/17 18.09.30	-2.5
2131	CATTOLICA S.GIOVANNI GABICCE	03/03/17 18.22.00	03/03/17 18.18.00	-4.0
2131	PESARO	03/03/17 18.33.00	03/03/17 18.33.00	0.0
2131	FANO	03/03/17 18.41.00	03/03/17 18.42.30	1.5
2131	MAROTTA MONDOLFO	03/03/17 18.49.00	03/03/17 18.50.00	1.0
2131	SENIGALLIA	03/03/17 18.56.00	03/03/17 18.56.30	0.5
2131	FALCONARA MARITTIMA	03/03/17 19.07.00	03/03/17 19.10.00	3.0
2131	ANCONA	03/03/17 19.19.00	03/03/17 19.22.30	3.5
2283	MILANO CENTRALE	03/03/17 17.20.00	03/03/17 17.34.30	14.5
2283	MILANO LAMBRATE	03/03/17 17.26.00	03/03/17 17.39.30	13.5
2283	MILANO ROGOREDO	03/03/17 17.31.00	03/03/17 17.45.30	14.5
2283	LODI	03/03/17 17.46.00	03/03/17 18.01.00	15.0
2283	PIACENZA	03/03/17 18.12.00	03/03/17 18.20.00	8.0
2283	FIORENZUOLA	03/03/17 18.26.00	03/03/17 18.36.00	10.0
2283	FIDENZA	03/03/17 18.41.00	03/03/17 18.45.30	4.5
2283	PARMA	03/03/17 18.54.00	03/03/17 18.56.30	2.5
2283	S.ILARIO	03/03/17 19.03.00	03/03/17 19.06.00	3.0
2283	REGGIO EMILIA	03/03/17 19.12.00	03/03/17 19.23.30	11.5
2283	RUBIERA	03/03/17 19.22.00	03/03/17 19.32.00	10.0
2283	MODENA	03/03/17 19.30.00	03/03/17 19.43.00	13.0
2283	CASTELFRANCO D'EMILIA	03/03/17 19.39.00	03/03/17 19.53.00	14.0
2283	SAMOGGIA	03/03/17 19.46.00	03/03/17 20.02.30	16.5
2283	ANZOLA	03/03/17 19.51.00	03/03/17 20.07.30	16.5
2283	BOLOGNA C.LE	03/03/17 20.08.00	03/03/17 20.22.30	14.5
