Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
2133	PIACENZA	29/11/16 16.52.00	29/11/16 16.56.30	4.5
2133	FIORENZUOLA	29/11/16 17.04.00	29/11/16 17.07.30	3.5
2131	PIACENZA	29/11/16 14.52.00	29/11/16 14.54.30	2.5
2131	FIORENZUOLA	29/11/16 15.04.00	29/11/16 15.05.30	1.5
2131	FIDENZA	29/11/16 15.13.00	29/11/16 15.14.00	1.0
2131	PARMA	29/11/16 15.28.00	29/11/16 15.27.00	-1.0
2131	REGGIO EMILIA	29/11/16 15.45.00	29/11/16 15.44.30	-0.5
2131	MODENA	29/11/16 15.59.00	29/11/16 15.59.00	0.0
2131	CASTELFRANCO D'EMILIA	29/11/16 16.08.00	29/11/16 16.07.30	-0.5
2131	BOLOGNA C.LE	29/11/16 16.28.00	29/11/16 16.26.30	-1.5
2131	CASTEL S.PIETRO TERME	29/11/16 16.49.00	29/11/16 16.50.30	1.5
2131	IMOLA	29/11/16 17.00.00	29/11/16 17.03.00	3.0
2131	CASTELBOLOGNESE	29/11/16 17.08.00	29/11/16 17.09.30	1.5
11409	PIACENZA	29/11/16 16.33.00	29/11/16 16.34.00	1.0
11409	PONTENURE	29/11/16 16.40.00	29/11/16 16.40.30	0.5
11409	CADEO	29/11/16 16.46.00	29/11/16 16.45.00	-1.0
11409	FIORENZUOLA	29/11/16 16.51.00	29/11/16 16.51.30	0.5
11409	FIDENZA	29/11/16 17.00.00	29/11/16 17.00.30	0.5
11409	CASTELGUELFO	29/11/16 17.08.00	29/11/16 17.08.00	0.0
2069	PIACENZA	29/11/16 08.52.00	29/11/16 08.52.30	0.5
2069	FIORENZUOLA	29/11/16 09.04.00	29/11/16 09.06.00	2.0
2069	FIDENZA	29/11/16 09.13.00	29/11/16 09.15.00	2.0
2069	PARMA	29/11/16 09.28.00	29/11/16 09.29.00	1.0
2069	REGGIO EMILIA	29/11/16 09.45.00	29/11/16 09.46.30	1.5
2069	MODENA	29/11/16 09.59.00	29/11/16 10.14.00	15.0
2069	CASTELFRANCO D'EMILIA	29/11/16 10.08.00	29/11/16 10.24.30	16.5
2069	BOLOGNA C.LE	29/11/16 10.28.00	29/11/16 10.44.00	16.0
2069	CASTEL S.PIETRO TERME	29/11/16 10.49.00	29/11/16 11.03.00	14.0
2069	IMOLA	29/11/16 11.00.00	29/11/16 11.10.00	10.0
2069	CASTELBOLOGNESE	29/11/16 11.08.00	29/11/16 11.15.30	7.5
2069	FAENZA	29/11/16 11.22.00	29/11/16 11.21.30	-0.5
2069	FORLI`	29/11/16 11.40.00	29/11/16 11.32.30	-7.5
2069	CESENA	29/11/16 12.03.00	29/11/16 11.55.30	-7.5
2069	RIMINI	29/11/16 12.30.00	29/11/16 12.28.00	-2.0
2069	RICCIONE	29/11/16 12.41.00	29/11/16 12.40.00	-1.0
2069	CATTOLICA S.GIOVANNI GABICCE	29/11/16 12.54.00	29/11/16 12.47.00	-7.0
2069	PESARO	29/11/16 13.08.00	29/11/16 13.05.00	-3.0
2069	FANO	29/11/16 13.16.00	29/11/16 13.25.00	9.0
2069	MAROTTA MONDOLFO	29/11/16 13.24.00	29/11/16 13.32.00	8.0
2069	SENIGALLIA	29/11/16 13.30.00	29/11/16 13.38.30	8.5
2123	PIACENZA	29/11/16 06.52.00	29/11/16 06.53.00	1.0
2123	FIORENZUOLA	29/11/16 07.04.00	29/11/16 07.05.00	1.0
2123	FIDENZA	29/11/16 07.13.00	29/11/16 07.14.00	1.0
2123	PARMA	29/11/16 07.28.00	29/11/16 07.28.00	0.0
2123	REGGIO EMILIA	29/11/16 07.45.00	29/11/16 07.45.30	0.5
2123	MODENA	29/11/16 07.59.00	29/11/16 08.01.30	2.5
2123	CASTELFRANCO D'EMILIA	29/11/16 08.08.00	29/11/16 08.11.00	3.0
2123	BOLOGNA C.LE	29/11/16 08.28.00	29/11/16 08.31.00	3.0
2123	CASTEL S.PIETRO TERME	29/11/16 08.49.00	29/11/16 08.52.00	3.0
2123	IMOLA	29/11/16 09.00.00	29/11/16 09.03.00	3.0
2123	CASTELBOLOGNESE	29/11/16 09.08.00	29/11/16 09.09.00	1.0
2123	FAENZA	29/11/16 09.14.00	29/11/16 09.16.00	2.0
2123	FORLI`	29/11/16 09.25.00	29/11/16 09.25.30	0.5
2123	CESENA	29/11/16 09.43.00	29/11/16 09.37.30	-5.5
2123	RIMINI	29/11/16 10.04.00	29/11/16 10.04.30	0.5
2123	RICCIONE	29/11/16 10.13.00	29/11/16 10.13.30	0.5
2123	CATTOLICA S.GIOVANNI GABICCE	29/11/16 10.22.00	29/11/16 10.20.30	-1.5
2123	PESARO	29/11/16 10.33.00	29/11/16 10.32.00	-1.0
2123	FANO	29/11/16 10.41.00	29/11/16 10.42.00	1.0
2123	MAROTTA MONDOLFO	29/11/16 10.49.00	29/11/16 10.49.30	0.5
2123	SENIGALLIA	29/11/16 10.56.00	29/11/16 10.56.30	0.5
2123	FALCONARA MARITTIMA	29/11/16 11.07.00	29/11/16 11.06.30	-0.5
2913	PIACENZA	29/11/16 06.56.00	29/11/16 06.58.30	2.5
2913	PONTENURE	29/11/16 07.02.00	29/11/16 07.05.00	3.0
2913	CADEO	29/11/16 07.07.00	29/11/16 07.10.00	3.0
2913	FIORENZUOLA	29/11/16 07.13.00	29/11/16 07.16.00	3.0
2913	FIDENZA	29/11/16 07.21.00	29/11/16 07.25.30	4.5
2913	PARMA	29/11/16 07.35.00	29/11/16 07.38.30	3.5
2913	S.ILARIO	29/11/16 07.44.00	29/11/16 07.46.30	2.5
2913	REGGIO EMILIA	29/11/16 07.53.00	29/11/16 07.58.30	5.5
2913	RUBIERA	29/11/16 08.01.00	29/11/16 08.06.30	5.5
2913	MODENA	29/11/16 08.09.00	29/11/16 08.15.00	6.0
2913	CASTELFRANCO D'EMILIA	29/11/16 08.17.00	29/11/16 08.23.30	6.5
2913	ANZOLA	29/11/16 08.24.00	29/11/16 08.32.00	8.0
