Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
2986	BOLOGNA C.LE	30/11/16 07.00.00	30/11/16 07.01.30	1.5
2986	MODENA	30/11/16 07.35.00	30/11/16 07.36.00	1.0
2986	REGGIO EMILIA	30/11/16 07.53.00	30/11/16 07.54.30	1.5
2986	PARMA	30/11/16 08.14.00	30/11/16 08.10.30	-3.5
2986	FIDENZA	30/11/16 08.29.00	30/11/16 08.30.30	1.5
2986	FIORENZUOLA	30/11/16 08.40.00	30/11/16 08.38.30	-1.5
2986	PIACENZA	30/11/16 08.56.00	30/11/16 08.52.30	-3.5
2986	LODI	30/11/16 09.19.00	30/11/16 09.18.00	-1.0
11400	BOLOGNA C.LE	30/11/16 06.52.00	30/11/16 06.53.00	1.0
11400	ANZOLA	30/11/16 07.03.00	30/11/16 07.06.00	3.0
11400	SAMOGGIA	30/11/16 07.08.00	30/11/16 07.10.00	2.0
11400	CASTELFRANCO D'EMILIA	30/11/16 07.14.00	30/11/16 07.14.00	0.0
11400	MODENA	30/11/16 07.22.00	30/11/16 07.24.00	2.0
11400	RUBIERA	30/11/16 07.37.00	30/11/16 07.41.30	4.5
11400	REGGIO EMILIA	30/11/16 07.44.00	30/11/16 07.49.30	5.5
11400	S.ILARIO	30/11/16 07.56.00	30/11/16 08.01.00	5.0
11414	BOLOGNA C.LE	30/11/16 08.52.00	30/11/16 08.54.00	2.0
11414	ANZOLA	30/11/16 09.03.00	30/11/16 09.03.00	0.0
11414	SAMOGGIA	30/11/16 09.08.00	30/11/16 09.09.00	1.0
11414	CASTELFRANCO D'EMILIA	30/11/16 09.14.00	30/11/16 09.13.00	-1.0
11414	MODENA	30/11/16 09.23.00	30/11/16 09.22.00	-1.0
